station_coordinates,station_type_voie,station_dep,line_separation
"[48.627317846808154, 2.5631270801001325]",VDS,77,PR
"[48.85485869668946, 2.774359927910227]",VDS,77,PR
"[48.8516674875162, 2.770626859975657]",VDS,77,PR
"[48.62790033196316, 2.5689064972335984]",VDS,77,PR
"[48.52748945990624, 2.652123700198643]",VSU1,77,PR
"[48.83642737392905, 2.7098279699565024]",VDS,77,PR
"[48.87434808555306, 2.584686347516724]",VSU1,77,PR
"[48.8743922657984, 2.5848326490412084]",VSU1,77,PR
"[48.992388916482504, 1.695396008102192]",VSU2,78,PR
"[48.78982700409727, 2.0419508108569238]",VDS,78,PR
"[48.791368149756494, 2.0426553497646287]",VDS,78,PR
"[48.786368941741856, 2.0432911198951036]",VDS,78,PR
"[48.82864508314726, 2.117534345711511]",VSU1,78,PR
"[48.7748917013844, 2.0417925110506348]",VDS,78,PR
"[48.76207272430358, 2.075268584585414]",VDS,78,PR
"[48.77416643031089, 2.2179856889774583]",VSU1,78,PR
"[48.64723077854722, 1.8418502791094322]",VSU1,78,PR
"[48.93317379991744, 2.0428794500266454]",VSU2,78,PR
"[48.92901954989884, 2.184405149777888]",VSU1,78,PR
"[48.988739792287284, 1.669340358256729]",VDS,78,PR
"[48.78486646100457, 2.218928614064339]",VSU1,78,FR
"[48.89712139843253, 2.095928902735539]",VSU1,78,PR
"[48.931711163626446, 2.0399454129333123]",VSU2,78,FR
"[48.74594426644295, 2.112495501183822]",VSU2,78,FR
"[48.819048330678214, 2.1381673598358004]",VSU1,78,PR
"[48.933053118757826, 2.042609823530746]",VSU2,78,PR
"[48.896909800333454, 2.0959307498043236]",VSU1,78,PR
"[48.78005438810783, 1.9891264289494464]",VSU1,78,PR
"[48.79583461920852, 2.135431125695958]",VDS,78,PR
"[48.810070462717924, 2.134233374870405]",VSU1,78,FR
"[48.807983551735774, 2.132965346073916]",VSU1,78,FR
"[48.78639282050847, 2.2096520585956787]",VSU1,78,FR
"[48.7926937336361, 2.2190640792084713]",VSU1,92,FR
"[48.82706113505841, 2.077536901355922]",VSU1,78,FR
"[49.045604215104426, 2.091942638096112]",VDS,95,PR
"[48.97845005006639, 2.1992482497070105]",VSU2,95,PR
"[49.00542639085268, 2.5189797530832494]",VSU2,95,FR
"[49.07676887131281, 2.0759953962178668]",VSU1,95,PR
"[49.058350228179286, 2.0907016147468416]",VSU1,95,PR
"[49.041419591561784, 2.135262236334671]",VSU1,95,FR
"[49.018471854338436, 2.2121099864292035]",VSU1,95,PR
"[49.0472025500444, 2.009781249754894]",VSU2,95,FR
"[49.06221752669572, 2.050621859119366]",VSU1,95,PR
"[49.02967391376128, 2.098485167612803]",VSU1,95,PR
"[48.988870911450036, 2.3771768057150657]",VSU1,95,FR
"[49.036687057658064, 2.1125822065027227]",VSU1,95,PR
"[49.03426982419898, 2.083924015603015]",VSU1,95,FR
"[49.05173558126376, 2.132894511721406]",VSU1,95,PR
"[49.05001293458472, 2.033127010332307]",VDS,95,PR
"[49.03360335010129, 2.127792599898611]",VDS,95,PR
"[49.035922830710845, 2.0813085921678294]",VDS,95,PR
"[49.05128659598538, 2.131998790446243]",VSU1,95,PR
"[48.92309535810081, 2.217557304426122]",VDS,95,PR
"[49.05949723341159, 2.09072892811222]",VSU1,95,FR
"[49.05472991236557, 2.0925641498326275]",VSU1,95,PR
"[49.031152457390654, 2.0720762472848455]",VDS,95,PR
"[49.03173129524981, 2.073997311676635]",VSU1,95,PR
"[49.03242550670501, 2.0767475345634603]",VDS,95,PR
"[49.03739430414056, 2.086131398645164]",VSU1,95,PR
"[48.61778568861833, 2.430323029104758]",VDS,91,PR
"[48.63068835002315, 2.4287859998740373]",VDS,91,PR
"[48.632441878347706, 2.4294627916273295]",VDS,91,PR
"[48.63213784986773, 2.4332196000045765]",VDS,91,PR
"[48.63166975004476, 2.428929249735119]",VDS,91,PR
"[48.63108894988096, 2.4231017004331643]",VDS,91,PR
"[48.63599105003279, 2.410762500139299]",VDS,91,PR
"[48.63816765040258, 2.431136599724368]",VDS,91,PR
"[48.61865116142776, 2.4316195943763788]",VDS,91,PR
"[48.60744101973863, 2.3015062773442345]",VSU1,91,FR
"[48.52994269633648, 2.2946116937028385]",VSU1,91,PR
"[48.62536945007588, 2.3609136497451857]",VDS,91,PR
"[48.61865708494836, 2.4310413866057203]",VDS,91,PR
"[48.691907249387036, 2.3764620025300935]",VSU1,91,PR
"[48.707352265308934, 2.4832100660789203]",VSU2,91,FR
"[48.71889641180197, 2.222713822815648]",VDS,91,PR
"[48.61924675353907, 2.428883320719458]",VDS,91,PR
"[48.723962650292144, 2.258875699853717]",VDS,91,PR
"[48.72195344852707, 2.2564859720705415]",VDS,91,PR
"[48.72413939428106, 2.2590913715490912]",VDS,91,PR
"[48.72156290077543, 2.2577314505473307]",VSU2,91,FR
"[48.62350971348122, 2.4505208647280945]",VDS,91,PR
"[48.61664553136044, 2.4333348836302564]",VDS,91,PR
"[48.629458887250074, 2.4286310420951733]",VDS,91,PR
"[48.71841589679082, 2.2312916116056627]",VDS,91,PR
"[48.64662546140963, 2.22022250429067]",VSU1,91,PR
"[48.71343245670683, 2.371489940324526]",VSU1,91,PR
"[48.63301150023866, 2.412238244148502]",VDS,91,PR
"[48.714033099783784, 2.176789299936303]",VDS,91,PR
"[48.62087600006318, 2.4482052501222418]",VDS,91,PR
"[48.67868283666663, 2.107495203270636]",VSU1,91,PR
"[48.71208760692374, 2.175465856747981]",VDS,91,PR
"[48.715590855499514, 2.1785009338966237]",VDS,91,PR
"[48.622055436748916, 2.42758876075853]",VDS,91,PR
"[48.58678706302481, 2.2451811331773297]",VDS,91,PR
"[48.72892605599303, 2.161191897877569]",VDS,91,PR
"[48.707049575017415, 2.4837893508167763]",VSU2,91,FR
"[48.625998899965126, 2.3612232998154914]",VDS,91,PR
"[48.63221651271735, 2.4321889586487755]",VDS,91,PR
