station_coordinates,station_name,station_slug,station_type,transport_type,transport_index
"[48.68101661540746, 2.533130656571037]",Boussy-Saint-Antoine,Boussy-Saint-Antoine,RER,RER D,D
"[48.60674494801255, 2.3020596915826386]",Brétigny,Brétigny,RER,RER C,C
"[49.00975645120457, 2.5612326952251054]",Aéroport Charles De Gaulle 1,Aéroport Charles De Gaulle 1,RER,RER B,B
"[48.798892499145914, 2.3281369230647506]",Arcueil-Cachan,Arcueil-Cachan,RER,RER B,B
"[48.932196005027805, 2.495513142584313]",Aulnay-sous-Bois,Aulnay-sous-Bois,TRAIN,TRANSILIEN K,K
"[48.932196005027805, 2.495513142584313]",Aulnay-sous-Bois,Aulnay-sous-Bois,RER,RER B,B
"[48.85364805623443, 2.2794870649625656]",Avenue du Président Kennedy,Avenue du Président Kennedy,RER,RER C,C
"[48.533732833041356, 2.0087718138734374]",Dourdan,Dourdan,RER,RER C,C
"[48.972749118825284, 2.3071370320715325]",Enghien-Les-Bains,Enghien-Les-Bains,TRAIN,TRANSILIEN H,H
"[49.04964700432274, 2.0342944618526615]",Cergy-Saint-Christophe,Cergy-Saint-Christophe,TRAIN,TRANSILIEN L,L
"[48.806985070711534, 2.5103072371156405]",Champigny,Champigny,RER,RER A,A
"[48.799728824409215, 2.1836841098542354]",Chaville-Vélizy,Chaville-Vélizy,RER,RER C,C
"[48.66790196011456, 2.547548045814365]",Combs-la-Ville - Quincy,Combs-la-Ville - Quincy,RER,RER D,D
"[48.93289616551451, 2.307943234074897]",Gennevilliers,Gennevilliers,RER,RER C,C
"[48.815229933781644, 2.3408911324445945]",Gentilly,Gentilly,RER,RER B,B
"[48.69819697536674, 2.1365667170583604]",Gif-sur-Yvette,Gif-sur-Yvette,RER,RER B,B
"[48.99028999544205, 2.1619066055921574]",Herblay,Herblay,TRAIN,TRANSILIEN J,J
"[48.9802459057471, 2.269132274132826]",Ermont-Eaubonne,Ermont-Eaubonne,TRAIN,TRANSILIEN J,J
"[48.41637703207025, 2.726661533081672]",Fontainebleau Avon,Fontainebleau Avon,TRAIN,TRANSILIEN R,R
"[48.8437725759169, 2.373916469806498]",Gare de Lyon,Gare de Lyon,RER,RER D,D
"[48.92037937299015, 2.1853533763028636]",Houilles-Carrières-sur-Seine,Houilles-Carrières-sur-Seine,TRAIN,TRANSILIEN J,J
"[48.84271995342031, 2.1381250587772946]",La Celle-Saint-Cloud,La Celle-Saint-Cloud,TRAIN,TRANSILIEN L,L
"[48.92435387872672, 2.386388291064693]",La Courneuve-Aubervilliers,La Courneuve-Aubervilliers,RER,RER B,B
"[48.94550297097257, 2.145017437654258]",Maisons-Laffitte,Maisons-Laffitte,RER,RER A,A
"[48.98950250709662, 1.7030161341672225]",Mantes-la-Jolie,Mantes-la-Jolie,TRAIN,TRANSILIEN J,J
"[48.734939295556416, 2.8689558300836873]",Marles-en-Brie,Marles-en-Brie,TRAIN,TRANSILIEN P,P
"[48.90963293219175, 2.239684117127616]",La Garenne-Colombes,La Garenne-Colombes,TRAIN,TRANSILIEN L,L
"[48.808296587696724, 2.3343543096396475]",Laplace,Laplace,RER,RER B,B
"[48.897973445402116, 2.122117447472966]",Le Vésinet-Le Pecq,Le Vésinet-Le Pecq,RER,RER A,A
"[48.824848568564235, 2.5118555534510065]",Les Boullereaux-Champigny,Les Boullereaux-Champigny,RER,RER E,E
"[48.99261388070526, 1.9554792475346048]",Les Clairières de Verneuil,Les Clairières de Verneuil,TRAIN,TRANSILIEN J,J
"[48.745072165958895, 2.417520977896491]",Les Saules,Les Saules,RER,RER C,C
"[48.70223938596822, 2.2945577478546335]",Longjumeau,Longjumeau,RER,RER C,C
"[48.513754590039326, 3.250034982583049]",Longueville,Longueville,TRAIN,TRANSILIEN P,P
"[48.839341938245695, 2.494188055346114]",Nogent-le-Perreux,Nogent-le-Perreux,RER,RER E,E
"[48.77163431277776, 2.146972741512856]",Petit-Jouy-les-Loges,Petit-Jouy-les-Loges,RER,RER C,C
"[48.6140152408775, 2.8882528940730743]",Mormant,Mormant,TRAIN,TRANSILIEN P,P
"[48.813798481192784, 3.0429382660462956]",Mouroux,Mouroux,TRAIN,TRANSILIEN P,P
"[48.697505669868114, 2.181054439041218]",Orsay-Ville,Orsay-Ville,RER,RER B,B
"[48.83191618338393, 1.9444017580668451]",Plaisir-Grignon,Plaisir-Grignon,TRAIN,TRANSILIEN N,N
"[48.93326540519439, 2.0410722896759257]",Poissy,Poissy,TRAIN,TRANSILIEN J,J
"[49.04664576170749, 2.0951950672259683]",Pontoise,Pontoise,TRAIN,TRANSILIEN H,H
"[49.04664576170749, 2.0951950672259683]",Pontoise,Pontoise,RER,RER C,C
"[49.04664576170749, 2.0951950672259683]",Pontoise,Pontoise,TRAIN,TRANSILIEN J,J
"[48.796528180240905, 2.1523786602533717]",Porchefontaine,Porchefontaine,RER,RER C,C
"[48.78739023735681, 2.044621988534177]",Saint-Quentin-en-Yvelines,Saint-Quentin-en-Yvelines,RER,RER C,C
"[48.67644665606244, 2.3524814010489967]",Savigny-sur-Orge,Savigny-sur-Orge,RER,RER C,C
"[48.535806508307815, 2.069381524887471]",Sermaise,Sermaise,RER,RER C,C
"[49.11902264537138, 2.3997248525189114]",Seugy,Seugy,TRAIN,TRANSILIEN H,H
"[48.93628018471764, 2.5347149747425233]",Sevran-Livry,Sevran-Livry,RER,RER B,B
"[48.82942901439413, 1.6690101613655632]",Tacoignières-Richebourg,Tacoignières-Richebourg,TRAIN,TRANSILIEN N,N
"[49.02496079387932, 2.2223226926705837]",Taverny,Taverny,TRAIN,TRANSILIEN H,H
"[48.8833838128909, 2.2336919201504086]",Puteaux,Puteaux,TRAIN,TRANSILIEN L,L
"[48.8875736177044, 2.1725794477184146]",Rueil-Malmaison,Rueil-Malmaison,RER,RER A,A
"[48.79870763435358, 2.0718470059294005]",Saint-Cyr,Saint-Cyr,TRAIN,TRANSILIEN U,U
"[48.93445554412717, 2.3456043781962896]",Saint-Denis,Saint-Denis,RER,RER D,D
"[48.65281140050726, 2.312736251060262]",Sainte-Geneviève-des-Bois,Sainte-Geneviève-des-Bois,RER,RER C,C
"[48.80020939740985, 2.40271281718153]",Vitry-sur-Seine,Vitry-sur-Seine,RER,RER C,C
"[48.5151514532052, 2.5993042659192627]",Vosves,Vosves,RER,RER D,D
"[48.83664331709734, 2.152697400276264]",Vaucresson,Vaucresson,TRAIN,TRANSILIEN L,L
"[48.981445968476365, 1.9831433520864974]",Vernouillet-Verneuil,Vernouillet-Verneuil,TRAIN,TRANSILIEN J,J
"[48.38677098650291, 2.8420373888152235]",Vernou-sur-Seine,Vernou-sur-Seine,TRAIN,TRANSILIEN R,R
"[48.92037937299015, 2.1853533763028636]",Houilles-Carrières-sur-Seine,Houilles-Carrières-sur-Seine,TRAIN,TRANSILIEN L,L
"[49.099650120775024, 1.9705357223217725]",Us,Us,TRAIN,TRANSILIEN J,J
"[48.85426899270086, 2.489167460948014]",Val de Fontenay,Val de Fontenay,RER,RER E,E
"[48.70812051332577, 2.413871150351318]",Vigneux-sur-Seine,Vigneux-sur-Seine,RER,RER D,D
"[48.59281218940513, 2.4615501808974876]",Villabé,Villabé,RER,RER D,D
"[48.739830698501535, 2.4263998204748227]",Villeneuve-le-Roi,Villeneuve-le-Roi,RER,RER C,C
"[48.95314838664854, 2.6031353051184483]",Villeparisis-Mitry-le-Neuf,Villeparisis-Mitry-le-Neuf,RER,RER B,B
"[48.823653267814635, 1.9928645351555556]",Villepreux-les-Clayes,Villepreux-les-Clayes,TRAIN,TRANSILIEN N,N
"[48.993777145958845, 2.416187488926983]",Villiers-le-Bel-Gonesse-Arnouville,Villiers-le-Bel-Gonesse-Arnouville,RER,RER D,D
"[48.60507627664525, 1.681645780403712]",Épernon,Épernon,TRAIN,GL,GL
"[48.18643720864527, 1.3862450209435093]",Bonneval,Bonneval,TRAIN,GL,GL
"[49.13547414281775, 3.075626562947475]",Mareuil-sur-Ourcq,Mareuil-sur-Ourcq,TRAIN,TRANSILIEN P,P
"[48.85105028137978, 2.3442733454213514]",Cluny-La Sorbonne,Cluny-La Sorbonne,METRO,METRO 10,10
"[48.754946524596164, 2.3009868557349504]",Antony,Antony,RER,RER B,B
"[48.97214167597384, 1.8483488082825008]",Aubergenville-Élisabethville,Aubergenville-Élisabethville,TRAIN,TRANSILIEN J,J
"[48.844139348918475, 2.373259976710645]",Gare de Lyon,Gare de Lyon,RER,RER A,A
"[48.74085329922273, 2.230839930557986]",Igny,Igny,RER,RER C,C
"[49.132577701458594, 2.2805153698198444]",Nointel-Mours,Nointel-Mours,TRAIN,TRANSILIEN H,H
"[48.80021557720123, 2.129043867370255]",Versailles Château,Versailles Château,RER,RER C,C
"[48.56507294010044, 2.5426094498060037]",Saint-Fargeau,Saint-Fargeau,RER,RER D,D
"[48.85409607732852, 2.4886964657999346]",Val de Fontenay,Val de Fontenay,RER,RER A,A
"[48.74450070121573, 2.438668340778226]",Villeneuve-Triage,Villeneuve-Triage,RER,RER D,D
"[48.147218038978494, 2.762728388543795]",Dordives,Dordives,TRAIN,TRANSILIEN R,R
"[49.20347844127161, 2.3772985520921446]",Précy-sur-Oise,Précy-sur-Oise,TRAIN,TRANSILIEN H,H
"[48.56432890583279, 2.170377259160042]",Breuillet-Village,Breuillet-Village,RER,RER C,C
"[49.15512735960005, 2.3248275129679956]",Bruyères-sur-Oise,Bruyères-sur-Oise,TRAIN,TRANSILIEN H,H
"[48.87420418539023, 2.2947732143825266]",Charles De Gaulle-Étoile,Charles De Gaulle-Étoile,RER,RER A,A
"[48.81257171624298, 2.188259860000293]",Chaville Rive Droite,Chaville Rive Droite,TRAIN,TRANSILIEN L,L
"[48.743016568968, 2.2959214068976026]",Fontaine-Michalon,Fontaine-Michalon,RER,RER B,B
"[48.84476017033219, 2.3735936532622803]",Gare de Lyon,Gare de Lyon,TRAIN,TRANSILIEN R,R
"[49.0804937060923, 2.003715373018928]",Montgeroult-Courcelles,Montgeroult-Courcelles,TRAIN,TRANSILIEN J,J
"[48.90456638896682, 2.3226263683342263]",Saint-Ouen,Saint-Ouen,RER,RER C,C
"[48.89807641019572, 2.094836628297753]",Saint-Germain-en-Laye,Saint-Germain-en-Laye,RER,RER A,A
"[48.4305048175848, 2.75299838499599]",Vulaines-sur-Seine-Samoreau,Vulaines-sur-Seine-Samoreau,TRAIN,TRANSILIEN R,R
"[48.80948226298239, 2.135087456598117]",Versailles Rive Droite,Versailles Rive Droite,TRAIN,TRANSILIEN L,L
"[48.83345085727892, 2.3317401309853487]",Denfert-Rochereau,Denfert-Rochereau,METRO,METRO 4,4
"[48.873513388661024, 2.3275430817269704]",Havre-Caumartin,Havre-Caumartin,METRO,METRO 3,3
"[48.87371340577332, 2.3276954096301727]",Havre-Caumartin,Havre-Caumartin,METRO,METRO 9,9
"[48.84894464412929, 2.3958794351856882]",Nation,Nation,METRO,METRO 9,9
"[48.84847428503984, 2.39506230542588]",Nation,Nation,METRO,METRO 2,2
"[48.82035003325553, 2.3385807496409945]",Cité Universitaire,Cité Universitaire,TRAMWAY,TRAM 3a,3A
"[48.83807588962523, 2.271174403433847]",Pont du Garigliano,Pont du Garigliano,TRAMWAY,TRAM 3a,3A
"[48.93344983983791, 2.3070896535270227]",Gennevilliers,Gennevilliers,TRAMWAY,TRAM 1,1
"[48.74168449220143, 2.3527953813100164]",La Fraternelle,La Fraternelle,TRAMWAY,TRAM 7,7
"[48.729550721727726, 2.3682641286195807]",Aéroport d'Orly,Aéroport d'Orly,TRAMWAY,TRAM 7,7
"[48.80107761048209, 2.1709674010790323]",Viroflay Rive Gauche,Viroflay Rive Gauche,TRAMWAY,TRAM 6,6
"[48.8975528089661, 2.3733837959985995]",Rosa Parks,Rosa Parks,TRAMWAY,TRAM 3b,3B
"[48.87949310699919, 2.388566870479196]",Botzaris,Botzaris,METRO,METRO 7bis,7b
"[48.85216836871572, 2.3896255399759543]",Rue des Boulets,Rue des Boulets,METRO,METRO 9,9
"[48.86865415090181, 2.341376051143573]",Bourse,Bourse,METRO,METRO 3,3
"[48.8561407102205, 2.370209339755371]",Bréguet-Sabin,Bréguet-Sabin,METRO,METRO 5,5
"[48.906374770235026, 2.4491899044793355]",Bobigny Pablo Picasso,Bobigny Pablo Picasso,METRO,METRO 5,5
"[48.84547070664901, 2.429205166347999]",Bérault,Bérault,METRO,METRO 1,1
"[48.869091161091255, 2.380542586000036]",Couronnes,Couronnes,METRO,METRO 2,2
"[48.83333855831707, 2.3866324020669847]",Cour Saint-Émilion,Cour Saint-Émilion,METRO,METRO 14,14
"[48.78992046595464, 2.4505115282905896]",Créteil-Université,Créteil-Université,METRO,METRO 8,8
"[48.881816107252455, 2.3940123983593633]",Danube,Danube,METRO,METRO 7bis,7b
"[48.8395496446341, 2.3957032894363923]",Daumesnil,Daumesnil,METRO,METRO 6,6
"[48.839041142779394, 2.389620014061438]",Dugommier,Dugommier,METRO,METRO 6,6
"[48.844456393634566, 2.440439978057246]",Château de Vincennes,Château de Vincennes,METRO,METRO 1,1
"[48.85763140976555, 2.3480365654004007]",Châtelet,Châtelet,METRO,METRO 11,11
"[48.877610186483444, 2.3708113953127445]",Colonel Fabien,Colonel Fabien,METRO,METRO 2,2
"[48.831129547092026, 2.3435116577497754]",Glacière,Glacière,METRO,METRO 6,6
"[48.83863164530258, 2.322491748462238]",Gaîté,Gaîté,METRO,METRO 13,13
"[48.84447014036132, 2.317852783041331]",Falguière,Falguière,METRO,METRO 12,12
"[48.84274677885832, 2.2919124133178745]",Félix Faure,Félix Faure,METRO,METRO 8,8
"[48.863257944024426, 2.366661093353451]",Filles du Calvaire,Filles du Calvaire,METRO,METRO 8,8
"[48.85008987711798, 2.3482087741854683]",Maubert-Mutualité,Maubert-Mutualité,METRO,METRO 10,10
"[48.84789564927389, 2.2640820307462213]",Michel Ange-Auteuil,Michel Ange-Auteuil,METRO,METRO 9,9
"[48.873733164672636, 2.314743542030632]",Miromesnil,Miromesnil,METRO,METRO 9,9
"[48.88718394593143, 2.3257796748068915]",La Fourche,La Fourche,METRO,METRO 13,13
"[48.84874166478328, 2.2989309117480605]",La Motte Picquet-Grenelle,La Motte Picquet-Grenelle,METRO,METRO 6,6
"[48.874971744608764, 2.3405759820437195]",Le Peletier,Le Peletier,METRO,METRO 7,7
"[48.85152370749983, 2.375101033755616]",Ledru Rollin,Ledru Rollin,METRO,METRO 8,8
"[48.86080629033762, 2.341108591634066]",Louvre-Rivoli,Louvre-Rivoli,METRO,METRO 1,1
"[48.86963317209047, 2.326272274027748]",Madeleine,Madeleine,METRO,METRO 8,8
"[48.868440162341024, 2.4015617127425415]",Pelleport,Pelleport,METRO,METRO 3bis,3bis
"[48.83422588174329, 2.3186164144253834]",Pernety,Pernety,METRO,METRO 13,13
"[48.84506157901035, 2.4012890198273475]",Picpus,Picpus,METRO,METRO 6,6
"[48.830972672053754, 2.35558027407791]",Place d'Italie,Place d'Italie,METRO,METRO 5,5
"[48.85357547156908, 2.3571625716183364]",Pont Marie,Pont Marie,METRO,METRO 7,7
"[48.872045861792856, 2.3100189324082727]",Saint-Philippe du Roule,Saint-Philippe du Roule,METRO,METRO 9,9
"[48.869628862844074, 2.354468813108208]",Strasbourg-Saint-Denis,Strasbourg-Saint-Denis,METRO,METRO 4,4
"[48.85162059003447, 2.361524965507838]",Sully-Morland,Sully-Morland,METRO,METRO 7,7
"[48.87547445574476, 2.3988675966256006]",Télégraphe,Télégraphe,METRO,METRO 11,11
"[48.83796121350173, 2.25712222983262]",Porte de Saint-Cloud,Porte de Saint-Cloud,METRO,METRO 9,9
"[48.827795542560736, 2.305534669653894]",Porte de Vanves,Porte de Vanves,METRO,METRO 13,13
"[48.945867271208414, 2.364636482504226]",Saint-Denis - Université,Saint-Denis - Université,METRO,METRO 13,13
"[48.853718933065686, 2.3337761382184663]",Saint-Germain-des-Prés,Saint-Germain-des-Prés,METRO,METRO 4,4
"[48.8415055214255, 2.307948677974289]",Volontaires,Volontaires,METRO,METRO 12,12
"[48.84221841267896, 2.329008926235402]",Vavin,Vavin,METRO,METRO 4,4
"[48.923103778731836, 2.2862795775297817]",Les Agnettes,Les Agnettes,METRO,METRO 13,13
"[48.86361093671121, 2.2875801625296517]",Trocadéro,Trocadéro,METRO,METRO 6,6
