station_coordinates,station_name,station_type,transport_type,station_exploitant
"[48.68101661540746, 2.533130656571037]",Boussy-Saint-Antoine,RER,RER D,SNCF
"[48.60674494801255, 2.3020596915826386]",Brétigny,RER,RER C,SNCF
"[49.00975645120457, 2.5612326952251054]",Aéroport Charles De Gaulle 1,RER,RER B,SNCF
"[48.798892499145914, 2.3281369230647506]",Arcueil-Cachan,RER,RER B,RATP
"[48.932196005027805, 2.495513142584313]",Aulnay-sous-Bois,TRAIN,TRAIN K,SNCF
"[48.932196005027805, 2.495513142584313]",Aulnay-sous-Bois,RER,RER B,SNCF
"[48.85364805623443, 2.2794870649625656]",Avenue du Président Kennedy,RER,RER C,SNCF
"[48.533732833041356, 2.0087718138734374]",Dourdan,RER,RER C,SNCF
"[48.972749118825284, 2.3071370320715325]",Enghien-Les-Bains,TRAIN,TRAIN H,SNCF
"[49.04964700432274, 2.0342944618526615]",Cergy-Saint-Christophe,TRAIN,TRAIN L,SNCF
"[48.806985070711534, 2.5103072371156405]",Champigny,RER,RER A,RATP
"[48.799728824409215, 2.1836841098542354]",Chaville-Vélizy,RER,RER C,SNCF
"[48.66790196011456, 2.547548045814365]",Combs-la-Ville - Quincy,RER,RER D,SNCF
"[48.93289616551451, 2.307943234074897]",Gennevilliers,RER,RER C,SNCF
"[48.815229933781644, 2.3408911324445945]",Gentilly,RER,RER B,RATP
"[48.69819697536674, 2.1365667170583604]",Gif-sur-Yvette,RER,RER B,RATP
"[48.99028999544205, 2.1619066055921574]",Herblay,TRAIN,TRAIN J,SNCF
"[48.9802459057471, 2.269132274132826]",Ermont-Eaubonne,TRAIN,TRAIN J,SNCF
"[48.41637703207025, 2.726661533081672]",Fontainebleau Avon,TRAIN,TRAIN R,SNCF
"[48.8437725759169, 2.373916469806498]",Gare de Lyon,RER,RER D,SNCF
"[48.92037937299015, 2.1853533763028636]",Houilles-Carrières-sur-Seine,TRAIN,TRAIN J,SNCF
"[48.84271995342031, 2.1381250587772946]",La Celle-Saint-Cloud,TRAIN,TRAIN L,SNCF
"[48.92435387872672, 2.386388291064693]",La Courneuve-Aubervilliers,RER,RER B,SNCF
"[48.94550297097257, 2.145017437654258]",Maisons-Laffitte,RER,RER A,SNCF
"[48.98950250709662, 1.7030161341672225]",Mantes-la-Jolie,TRAIN,TRAIN J,SNCF
"[48.734939295556416, 2.8689558300836873]",Marles-en-Brie,TRAIN,TRAIN P,SNCF
"[48.90963293219175, 2.239684117127616]",La Garenne-Colombes,TRAIN,TRAIN L,SNCF
"[48.808296587696724, 2.3343543096396475]",Laplace,RER,RER B,RATP
"[48.897973445402116, 2.122117447472966]",Le Vésinet-Le Pecq,RER,RER A,RATP
"[48.824848568564235, 2.5118555534510065]",Les Boullereaux-Champigny,RER,RER E,SNCF
"[48.99261388070526, 1.9554792475346048]",Les Clairières de Verneuil,TRAIN,TRAIN J,SNCF
"[48.745072165958895, 2.417520977896491]",Les Saules,RER,RER C,SNCF
"[48.70223938596822, 2.2945577478546335]",Longjumeau,RER,RER C,SNCF
"[48.513754590039326, 3.250034982583049]",Longueville,TRAIN,TRAIN P,SNCF
"[48.839341938245695, 2.494188055346114]",Nogent-le-Perreux,RER,RER E,SNCF
"[48.77163431277776, 2.146972741512856]",Petit-Jouy-les-Loges,RER,RER C,SNCF
"[48.6140152408775, 2.8882528940730743]",Mormant,TRAIN,TRAIN P,SNCF
"[48.813798481192784, 3.0429382660462956]",Mouroux,TRAIN,TRAIN P,SNCF
"[48.697505669868114, 2.181054439041218]",Orsay-Ville,RER,RER B,RATP
"[48.83191618338393, 1.9444017580668451]",Plaisir-Grignon,TRAIN,TRAIN N,SNCF
"[48.93326540519439, 2.0410722896759257]",Poissy,TRAIN,TRAIN J,SNCF
"[49.04664576170749, 2.0951950672259683]",Pontoise,TRAIN,TRAIN H,SNCF
"[49.04664576170749, 2.0951950672259683]",Pontoise,RER,RER C,SNCF
"[49.04664576170749, 2.0951950672259683]",Pontoise,TRAIN,TRAIN J,SNCF
"[48.796528180240905, 2.1523786602533717]",Porchefontaine,RER,RER C,SNCF
"[48.78739023735681, 2.044621988534177]",Saint-Quentin-en-Yvelines,RER,RER C,SNCF
"[48.67644665606244, 2.3524814010489967]",Savigny-sur-Orge,RER,RER C,SNCF
"[48.535806508307815, 2.069381524887471]",Sermaise,RER,RER C,SNCF
"[49.11902264537138, 2.3997248525189114]",Seugy,TRAIN,TRAIN H,SNCF
"[48.93628018471764, 2.5347149747425233]",Sevran-Livry,RER,RER B,SNCF
"[48.82942901439413, 1.6690101613655632]",Tacoignières-Richebourg,TRAIN,TRAIN N,SNCF
"[49.02496079387932, 2.2223226926705837]",Taverny,TRAIN,TRAIN H,SNCF
"[48.8833838128909, 2.2336919201504086]",Puteaux,TRAIN,TRAIN L,SNCF
"[48.8875736177044, 2.1725794477184146]",Rueil-Malmaison,RER,RER A,RATP
"[48.79870763435358, 2.0718470059294005]",Saint-Cyr,TRAIN,TRAIN U,SNCF
"[48.93445554412717, 2.3456043781962896]",Saint-Denis,RER,RER D,SNCF
"[48.65281140050726, 2.312736251060262]",Sainte-Geneviève-des-Bois,RER,RER C,SNCF
"[48.80020939740985, 2.40271281718153]",Vitry-sur-Seine,RER,RER C,SNCF
"[48.5151514532052, 2.5993042659192627]",Vosves,RER,RER D,SNCF
"[48.83664331709734, 2.152697400276264]",Vaucresson,TRAIN,TRAIN L,SNCF
"[48.981445968476365, 1.9831433520864974]",Vernouillet-Verneuil,TRAIN,TRAIN J,SNCF
"[48.38677098650291, 2.8420373888152235]",Vernou-sur-Seine,TRAIN,TRAIN R,SNCF
"[48.92037937299015, 2.1853533763028636]",Houilles-Carrières-sur-Seine,TRAIN,TRAIN L,SNCF
"[49.099650120775024, 1.9705357223217725]",Us,TRAIN,TRAIN J,SNCF
"[48.85426899270086, 2.489167460948014]",Val de Fontenay,RER,RER E,SNCF
"[48.70812051332577, 2.413871150351318]",Vigneux-sur-Seine,RER,RER D,SNCF
"[48.59281218940513, 2.4615501808974876]",Villabé,RER,RER D,SNCF
"[48.739830698501535, 2.4263998204748227]",Villeneuve-le-Roi,RER,RER C,SNCF
"[48.95314838664854, 2.6031353051184483]",Villeparisis-Mitry-le-Neuf,RER,RER B,SNCF
"[48.823653267814635, 1.9928645351555556]",Villepreux-les-Clayes,TRAIN,TRAIN N,SNCF
"[48.993777145958845, 2.416187488926983]",Villiers-le-Bel-Gonesse-Arnouville,RER,RER D,SNCF
"[48.60507627664525, 1.681645780403712]",Épernon,TRAIN,GL,SNCF
"[48.18643720864527, 1.3862450209435093]",Bonneval,TRAIN,GL,SNCF
"[49.13547414281775, 3.075626562947475]",Mareuil-sur-Ourcq,TRAIN,TRAIN P,SNCF
"[48.85105028137978, 2.3442733454213514]",Cluny-La Sorbonne,METRO,METRO 10,RATP
"[48.754946524596164, 2.3009868557349504]",Antony,RER,RER B,RATP
"[48.97214167597384, 1.8483488082825008]",Aubergenville-Élisabethville,TRAIN,TRAIN J,SNCF
"[48.844139348918475, 2.373259976710645]",Gare de Lyon,RER,RER A,RATP
"[48.74085329922273, 2.230839930557986]",Igny,RER,RER C,SNCF
"[49.132577701458594, 2.2805153698198444]",Nointel-Mours,TRAIN,TRAIN H,SNCF
"[48.80021557720123, 2.129043867370255]",Versailles Château,RER,RER C,SNCF
"[48.56507294010044, 2.5426094498060037]",Saint-Fargeau,RER,RER D,SNCF
"[48.85409607732852, 2.4886964657999346]",Val de Fontenay,RER,RER A,RATP
"[48.74450070121573, 2.438668340778226]",Villeneuve-Triage,RER,RER D,SNCF
"[48.147218038978494, 2.762728388543795]",Dordives,TRAIN,TRAIN R,SNCF
"[49.20347844127161, 2.3772985520921446]",Précy-sur-Oise,TRAIN,TRAIN H,SNCF
"[48.56432890583279, 2.170377259160042]",Breuillet-Village,RER,RER C,SNCF
"[49.15512735960005, 2.3248275129679956]",Bruyères-sur-Oise,TRAIN,TRAIN H,SNCF
"[48.87420418539023, 2.2947732143825266]",Charles De Gaulle-Étoile,RER,RER A,RATP
"[48.81257171624298, 2.188259860000293]",Chaville Rive Droite,TRAIN,TRAIN L,SNCF
"[48.743016568968, 2.2959214068976026]",Fontaine-Michalon,RER,RER B,RATP
"[48.84476017033219, 2.3735936532622803]",Gare de Lyon,TRAIN,TRAIN R,SNCF
"[49.0804937060923, 2.003715373018928]",Montgeroult-Courcelles,TRAIN,TRAIN J,SNCF
